Total rows: 684747
A: Starts 746, Ends 10, Longest Abbiategrasso
B: Starts 490, Ends 0, Longest Borgolavezzaro
C: Starts 936, Ends 7, Longest CopyrightTurconiPrinaPescettiLicenzaGPLTre
D: Starts 175, Ends 6, Longest Deuteronomio
E: Starts 233, Ends 4, Longest Emeregenzia
F: Starts 231, Ends 4, Longest Fresagrandinaria
G: Starts 441, Ends 2, Longest Giovanbattista
H: Starts 22, Ends 0, Longest Heisenberg
I: Starts 165, Ends 8, Longest Inghilterra
J: Starts 16, Ends 0, Longest Jugoslavia
K: Starts 29, Ends 0, Longest Kirghizistan
L: Starts 335, Ends 12, Longest Lettomanoppello
M: Starts 628, Ends 4, Longest Michelarcangelo
N: Starts 157, Ends 6, Longest Nabucodonosor
O: Starts 202, Ends 6, Longest Ostrogradski
P: Starts 514, Ends 7, Longest Pietramontecorvino
Q: Starts 23, Ends 1, Longest Quingentole
R: Starts 290, Ends 5, Longest Roccamontepiano
S: Starts 472, Ends 15, Longest Scanzorosciate
T: Starts 298, Ends 4, Longest Torrebelvicino
U: Starts 62, Ends 4, Longest Ussaramanna
V: Starts 302, Ends 3, Longest Villanovafranca
W: Starts 15, Ends 0, Longest Weltanschauung
X: Starts 1, Ends 3, Longest XML
Y: Starts 7, Ends 0, Longest Yamoussoukro
Z: Starts 69, Ends 0, Longest Zavattarello
a: Starts 64885, Ends 86239, Longest autoblindomitragliatrice
b: Starts 20663, Ends 57, Longest biblioteconomista
c: Starts 54946, Ends 149, Longest cinquecentocinquantamila
d: Starts 60736, Ends 238, Longest decontestualizzazione
e: Starts 19194, Ends 178096, Longest elettroencefalografica
f: Starts 19495, Ends 71, Longest fotosensibilizzazione
g: Starts 16609, Ends 350, Longest giurisdizionalistico
h: Starts 325, Ends 155, Longest handicappassero
i: Starts 61932, Ends 174702, Longest internazionalizzazione
j: Starts 165, Ends 6, Longest jarovizzerebbero
k: Starts 339, Ends 125, Longest kilometrassero
l: Starts 13532, Ends 404, Longest laringotracheotomia
m: Starts 26862, Ends 261, Longest microminiaturizzazione
n: Starts 7363, Ends 680, Longest novecentocinquantamila
o: Starts 11842, Ends 239447, Longest ortoflorofrutticoltura
p: Starts 44828, Ends 128, Longest precipitevolissimevolmente
q: Starts 2078, Ends 6, Longest quattrocentocinquantamila
r: Starts 84032, Ends 1536, Longest responsabilizzazione
s: Starts 114885, Ends 633, Longest settecentocinquantamila
t: Starts 30234, Ends 708, Longest teleradiotrasmettendo
u: Starts 4848, Ends 249, Longest ultramicrofotografia
v: Starts 14333, Ends 47, Longest veterotestamentario
w: Starts 142, Ends 17, Longest weltanschauung
x: Starts 242, Ends 67, Longest xeroradiografico
y: Starts 61, Ends 168, Longest yamatologhe
z: Starts 3317, Ends 97, Longest ziiiziiizxxivziiizmmxi
